"","weights"
"rep.foursig_1", 0.0016919015857099805
"rep.foursig_3", 0.0006031720896385551
"rep.foursig_5", 0.0009958787494669815
"rep.foursig_11", 0.2790517278133663
"rep.peakc_11", 0.07938223707407509
"rep.peakc_21", 0.2765721637186137
"rep.peakc_31", 0.04866305465953798
"rep.peakc_51", 0.00003099292730350
"rep.r3c_2000", 0.08590751809112801
"rep.r3c_5000", 0.025651362336926314
"rep.r3c_10000", 0.33769863210097645
"rep.r4cker_nearbait", 0.007641768330371554
